arrival_year,arrival_month
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,July
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,August
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
2015,September
